id,label,segmentColors
630,Cbm_Vermis_VII,#E64919
631,Cbm_Vermis_VIII,#67FFFF
632,Cbm_Vermis,#E64919
640,Cbm_Right_I_V_med,#CC0000
641,Cbm_Right_I_V_mid,#FF0000
642,Cbm_Right_VI_med,#0000FF
643,Cbm_Right_VI_mid,#1E90FF
644,Cbm_Right_VI_lat,#64D4ED
645,Cbm_Right_CrusI_med,#DAA520
646,Cbm_Right_CrusI_mid,#FFD700
647,Cbm_Right_CrusI_lat,#FFFFA6
648,Cbm_Right_CrusII_med,#9900CC
649,Cbm_Right_CrusII_mid,#998DD1
650,Cbm_Right_CrusII_lat,#CCCCFF
651,Cbm_Right_7med,#1FD4C2
652,Cbm_Right_7mid,#03FFED
653,Cbm_Right_7lat,#CCFFFF
654,Cbm_Right_8med,#564A93
655,Cbm_Right_8mid,#7272BE
656,Cbm_Right_8lat,#B8B2FF
657,Cbm_Right_PUNs,#7E8A25
658,Cbm_Right_TONs,#BDC575
659,Cbm_Right_FLOs,#F0E68C
660,Cbm_Left_I_V_med,#CC0000
661,Cbm_Left_I_V_mid,#FF0000
662,Cbm_Left_VI_med,#0000FF
663,Cbm_Left_VI_mid,#1E90FF
664,Cbm_Left_VI_lat,#64D4ED
665,Cbm_Left_CrusI_med,#DAA520
666,Cbm_Left_CrusI_mid,#FFD700
667,Cbm_Left_CrusI_lat,#FFFFA6
668,Cbm_Left_CrusII_med,#9900CC
669,Cbm_Left_CrusII_mid,#998DD1
670,Cbm_Left_CrusII_lat,#CCCCFF
671,Cbm_Left_7med,#1FD4C2
672,Cbm_Left_7mid,#03FFED
673,Cbm_Left_7lat,#CCFFFF
674,Cbm_Left_8med,#564A93
675,Cbm_Left_8mid,#7272BE
676,Cbm_Left_8lat,#B8B2FF
677,Cbm_Left_PUNs,#7E8A25
678,Cbm_Left_TONs,#BDC575
679,Cbm_Left_FLOs,#F0E68C
690,CbmWM_Gyri_Left,#7A8732
691,CbmWM_Gyri_Right,#7A8732
701,CSF-FSL-FAST,#781286
702,GrayMatter-FSL-FAST,#CD3E4E
703,WhiteMatter-FSL-FAST,#00E100
801,L_hypothalamus_anterior_inferior,#FAFF32
802,L_hypothalamus_anterior_superior,#50C8FF
803,L_hypothalamus_posterior,#FFA000
804,L_hypothalamus_tubular_inferior,#FFA0C8
805,L_hypothalamus_tubular_superior,#14B482
806,R_hypothalamus_anterior_inferior,#FAFF32
807,R_hypothalamus_anterior_superior,#50C8FF
808,R_hypothalamus_posterior,#FFA000
809,R_hypothalamus_tubular_inferior,#FFA0C8
810,R_hypothalamus_tubular_superior,#14B482
819,Left-HypoThal-noMB 0,#500000
820,Right-HypoThal-noMB 15,#A50F00
821,Left-Fornix 0,#FFFF00
822,Right-Fornix 27,#BBFD00
843,Left-MammillaryBody 178,#FF5000
844,Right-MammillaryBody 25,#F65000
853,Mid-AntCom 60,#3AD200
865,Left-Basal-Forebrain 170,#550000
866,Right-Basal-Forebrain 139,#451300
869,Left-SeptalNuc 255,#AAFF00
870,Right-SeptalNuc 191,#7FBF00
901,Air-Internal,#00AA00
902,Artery,#CC0000
906,EyeBalls,#E6BD42
907,Other-Tissues,#555500
908,Rectus-Muscles,#BE3249
909,Mucosa,#FFA0BC
911,Skin,#555555
912,Charm-Spinal-Cord,#00BBA9
914,Vein,#0054FF
915,Bone-Cortical,#005500
916,Bone-Cancellous,#AAAA00
917,Charm-Background,#00A8FF
920,Cortical-CSF,#7885D9
930,Optic-Nerve,#00BF7A
951,L-olfactory-bulb,#0000FF
952,R-olfactory-bulb,#FF0000
961,R-N.opticus,#4682B4
962,L-N.opticus,#82B446
963,R-C.mammilare,#CD3E4E
964,R-Optic-tract,#507886
965,L-Optic-tract,#C43AFA
966,L-C.mammilare,#009400
967,R-Chiasma-Opticum,#DCF8A4
968,L-Chiasma-Opticum,#E69422
969,Ant-Commisure,#0AB4E1
970,Third-Ventricle,#760064
971,R-Fornix,#7AC878
972,L-Fornix,#EC0DB0
973,Epiphysis,#CCB68E
974,Hypophysis,#779FB0
975,Infundibulum,#DCD814
976,Tuberal-Region,#783C6E
977,L-Med-Hypothalamus,#A5FF00
978,L-Lat-Hypothalamus,#00FF7F
979,L-Ant-Hypothalamus,#A52A2A
980,L-Post-Hypothalamus,#FFD700
981,R-Med-Hypothalamus,#73FF00
982,R-Lat-Hypothalamus,#3CFF7F
983,R-Ant-Hypothalamus,#A58E2A
984,R-Post-Hypothalamus,#FFAA14
999,SUSPICIOUS,#FF6464
1000,ctx-lh-unknown,#190519
1001,ctx-lh-bankssts,#196428
1002,ctx-lh-caudalanteriorcingulate,#7D64A0
1003,ctx-lh-caudalmiddlefrontal,#641900
1004,ctx-lh-corpuscallosum,#784632
1005,ctx-lh-cuneus,#DC1464
1006,ctx-lh-entorhinal,#DC140A
1007,ctx-lh-fusiform,#B4DC8C
1008,ctx-lh-inferiorparietal,#DC3CDC
1009,ctx-lh-inferiortemporal,#B42878
1010,ctx-lh-isthmuscingulate,#8C148C
1011,ctx-lh-lateraloccipital,#141E8C
1012,ctx-lh-lateralorbitofrontal,#234B32
1013,ctx-lh-lingual,#E18C8C
1014,ctx-lh-medialorbitofrontal,#C8234B
1015,ctx-lh-middletemporal,#A06432
1016,ctx-lh-parahippocampal,#14DC3C
1017,ctx-lh-paracentral,#3CDC3C
1018,ctx-lh-parsopercularis,#DCB48C
1019,ctx-lh-parsorbitalis,#146432
1020,ctx-lh-parstriangularis,#DC3C14
1021,ctx-lh-pericalcarine,#78643C
1022,ctx-lh-postcentral,#DC1414
1023,ctx-lh-posteriorcingulate,#DCB4DC
1024,ctx-lh-precentral,#3C14DC
1025,ctx-lh-precuneus,#A08CB4
1026,ctx-lh-rostralanteriorcingulate,#50148C
1027,ctx-lh-rostralmiddlefrontal,#4B327D
1028,ctx-lh-superiorfrontal,#14DCA0
1029,ctx-lh-superiorparietal,#14B48C
1030,ctx-lh-superiortemporal,#8CDCDC
1031,ctx-lh-supramarginal,#50A014
1032,ctx-lh-frontalpole,#640064
1033,ctx-lh-temporalpole,#464646
1034,ctx-lh-transversetemporal,#9696C8
1035,ctx-lh-insula,#FFC020
2000,ctx-rh-unknown,#190519
2001,ctx-rh-bankssts,#196428
2002,ctx-rh-caudalanteriorcingulate,#7D64A0
2003,ctx-rh-caudalmiddlefrontal,#641900
2004,ctx-rh-corpuscallosum,#784632
2005,ctx-rh-cuneus,#DC1464
2006,ctx-rh-entorhinal,#DC140A
2007,ctx-rh-fusiform,#B4DC8C
2008,ctx-rh-inferiorparietal,#DC3CDC
2009,ctx-rh-inferiortemporal,#B42878
2010,ctx-rh-isthmuscingulate,#8C148C
2011,ctx-rh-lateraloccipital,#141E8C
2012,ctx-rh-lateralorbitofrontal,#234B32
2013,ctx-rh-lingual,#E18C8C
2014,ctx-rh-medialorbitofrontal,#C8234B
2015,ctx-rh-middletemporal,#A06432
2016,ctx-rh-parahippocampal,#14DC3C
2017,ctx-rh-paracentral,#3CDC3C
2018,ctx-rh-parsopercularis,#DCB48C
2019,ctx-rh-parsorbitalis,#146432
2020,ctx-rh-parstriangularis,#DC3C14
2021,ctx-rh-pericalcarine,#78643C
2022,ctx-rh-postcentral,#DC1414
2023,ctx-rh-posteriorcingulate,#DCB4DC
2024,ctx-rh-precentral,#3C14DC
2025,ctx-rh-precuneus,#A08CB4
2026,ctx-rh-rostralanteriorcingulate,#50148C
2027,ctx-rh-rostralmiddlefrontal,#4B327D
2028,ctx-rh-superiorfrontal,#14DCA0
2029,ctx-rh-superiorparietal,#14B48C
2030,ctx-rh-superiortemporal,#8CDCDC
2031,ctx-rh-supramarginal,#50A014
2032,ctx-rh-frontalpole,#640064
2033,ctx-rh-temporalpole,#464646
2034,ctx-rh-transversetemporal,#9696C8
2035,ctx-rh-insula,#FFC020
3000,wm-lh-unknown,#E6FAE6
3001,wm-lh-bankssts,#E69BD7
3002,wm-lh-caudalanteriorcingulate,#829B5F
3003,wm-lh-caudalmiddlefrontal,#9BE6FF
3004,wm-lh-corpuscallosum,#87B9CD
3005,wm-lh-cuneus,#23EB9B
3006,wm-lh-entorhinal,#23EBF5
3007,wm-lh-fusiform,#4B2373
3008,wm-lh-inferiorparietal,#23C323
3009,wm-lh-inferiortemporal,#4BD787
3010,wm-lh-isthmuscingulate,#73EB73
3011,wm-lh-lateraloccipital,#EBE173
3012,wm-lh-lateralorbitofrontal,#DCB4CD
3013,wm-lh-lingual,#1E7373
3014,wm-lh-medialorbitofrontal,#37DCB4
3015,wm-lh-middletemporal,#5F9BCD
3016,wm-lh-parahippocampal,#EB23C3
3017,wm-lh-paracentral,#C323C3
3018,wm-lh-parsopercularis,#234B73
3019,wm-lh-parsorbitalis,#EB9BCD
3020,wm-lh-parstriangularis,#23C3EB
3021,wm-lh-pericalcarine,#879BC3
3022,wm-lh-postcentral,#23EBEB
3023,wm-lh-posteriorcingulate,#234B23
3024,wm-lh-precentral,#C3EB23
3025,wm-lh-precuneus,#5F734B
3026,wm-lh-rostralanteriorcingulate,#AFEB73
3027,wm-lh-rostralmiddlefrontal,#B4CD82
3028,wm-lh-superiorfrontal,#EB235F
3029,wm-lh-superiorparietal,#EB4B73
3030,wm-lh-superiortemporal,#732323
3031,wm-lh-supramarginal,#AF5FEB
3032,wm-lh-frontalpole,#9BFF9B
3033,wm-lh-temporalpole,#B9B9B9
3034,wm-lh-transversetemporal,#696937
3035,wm-lh-insula,#14DCA0
4000,wm-rh-unknown,#E6FAE6
4001,wm-rh-bankssts,#E69BD7
4002,wm-rh-caudalanteriorcingulate,#829B5F
4003,wm-rh-caudalmiddlefrontal,#9BE6FF
4004,wm-rh-corpuscallosum,#87B9CD
4005,wm-rh-cuneus,#23EB9B
4006,wm-rh-entorhinal,#23EBF5
4007,wm-rh-fusiform,#4B2373
4008,wm-rh-inferiorparietal,#23C323
4009,wm-rh-inferiortemporal,#4BD787
4010,wm-rh-isthmuscingulate,#73EB73
4011,wm-rh-lateraloccipital,#EBE173
4012,wm-rh-lateralorbitofrontal,#DCB4CD
4013,wm-rh-lingual,#1E7373
4014,wm-rh-medialorbitofrontal,#37DCB4
4015,wm-rh-middletemporal,#5F9BCD
4016,wm-rh-parahippocampal,#EB23C3
4017,wm-rh-paracentral,#C323C3
4018,wm-rh-parsopercularis,#234B73
4019,wm-rh-parsorbitalis,#EB9BCD
4020,wm-rh-parstriangularis,#23C3EB
4021,wm-rh-pericalcarine,#879BC3
4022,wm-rh-postcentral,#23EBEB
4023,wm-rh-posteriorcingulate,#234B23
4024,wm-rh-precentral,#C3EB23
4025,wm-rh-precuneus,#5F734B
4026,wm-rh-rostralanteriorcingulate,#AFEB73
4027,wm-rh-rostralmiddlefrontal,#B4CD82
4028,wm-rh-superiorfrontal,#EB235F
4029,wm-rh-superiorparietal,#EB4B73
4030,wm-rh-superiortemporal,#732323
4031,wm-rh-supramarginal,#AF5FEB
4032,wm-rh-frontalpole,#9BFF9B
4033,wm-rh-temporalpole,#B9B9B9
4034,wm-rh-transversetemporal,#696937
4035,wm-rh-insula,#14DCA0
1301,ctx-lh-frontal-lobe,#196428
1303,ctx-lh-cingulate-lobe,#641900
1304,ctx-lh-occipital-lobe,#784632
1305,ctx-lh-temporal-lobe,#DC1464
1306,ctx-lh-parietal-lobe,#DC140A
1307,ctx-lh-insula-lobe,#FFC020
2301,ctx-rh-frontal-lobe,#196428
2303,ctx-rh-cingulate-lobe,#641900
2304,ctx-rh-occipital-lobe,#784632
2305,ctx-rh-temporal-lobe,#DC1464
2306,ctx-rh-parietal-lobe,#DC140A
2307,ctx-rh-insula-lobe,#FFC020
3201,wm-lh-frontal-lobe,#EB235F
3203,wm-lh-cingulate-lobe,#234B23
3204,wm-lh-occipital-lobe,#879BC3
3205,wm-lh-temporal-lobe,#732323
3206,wm-lh-parietal-lobe,#23C323
3207,wm-lh-insula-lobe,#14DCA0
4201,wm-rh-frontal-lobe,#EB235F
4203,wm-rh-cingulate-lobe,#234B23
4204,wm-rh-occipital-lobe,#879BC3
4205,wm-rh-temporal-lobe,#732323
4206,wm-rh-parietal-lobe,#23C323
4207,wm-rh-insula-lobe,#14DCA0
5024,Low_TDP-43_Pathology_Density,#AAEE2C
5025,Moderate_TDP-43_Pathology_Density,#F0A869
5026,High_TDP-43_Pathology_Density,#B64F59
5027,Severe_TDP-43_Pathology_Density,#9C0F23
1100,ctx-lh-Unknown,#000000
1101,ctx-lh-Corpus_callosum,#323232
1102,ctx-lh-G_and_S_Insula_ONLY_AVERAGE,#B4141E
1103,ctx-lh-G_cingulate-Isthmus,#3C1919
1104,ctx-lh-G_cingulate-Main_part,#193C3C
1200,ctx-lh-G_cingulate-caudal_ACC,#193C3D
1201,ctx-lh-G_cingulate-rostral_ACC,#195A3C
1202,ctx-lh-G_cingulate-posterior,#19783C
1205,ctx-lh-S_cingulate-caudal_ACC,#19963C
1206,ctx-lh-S_cingulate-rostral_ACC,#19B43C
1207,ctx-lh-S_cingulate-posterior,#19D23C
1210,ctx-lh-S_pericallosal-caudal,#19965A
1211,ctx-lh-S_pericallosal-rostral,#19B45A
1212,ctx-lh-S_pericallosal-posterior,#19D25A
1105,ctx-lh-G_cuneus,#B41414
1106,ctx-lh-G_frontal_inf-Opercular_part,#DC1464
1107,ctx-lh-G_frontal_inf-Orbital_part,#8C3C3C
1108,ctx-lh-G_frontal_inf-Triangular_part,#B4DC8C
1109,ctx-lh-G_frontal_middle,#8C64B4
1110,ctx-lh-G_frontal_superior,#B4148C
1111,ctx-lh-G_frontomarginal,#8C148C
1112,ctx-lh-G_insular_long,#150A0A
